product_id,category,warehouse,month,stock_level,units_sold,units_expired,total_stock_cost_eur,storage_cost_eur,waste_cost_eur,revenue_eur,reorder_triggered
PROD0001,Specialty Pharma,Mannheim HQ,2024-01,1119,313,40,67251.9,4337.24,2404.0,25654.64,0
PROD0002,Specialty Pharma,Cologne,2024-01,3189,870,108,89451.45,5765.71,3029.4,33202.02,0
PROD0003,Prescription Drugs,Mannheim HQ,2024-01,263,157,8,18946.52,627.52,576.32,15097.12,1
PROD0004,Vaccines,Cologne,2024-01,1268,105,39,261144.6,15406.2,8032.05,25381.11,0
PROD0005,Vitamins & Supplements,Berlin,2024-01,635,99,20,15875.0,1088.39,500.0,3136.37,0
PROD0006,Specialty Pharma,Berlin,2024-01,2818,1583,16,70450.0,2584.11,400.0,49193.74,0
PROD0007,Prescription Drugs,Hamburg,2024-01,1970,508,7,434010.7,11199.45,1542.17,136913.57,0
PROD0008,Prescription Drugs,Hamburg,2024-01,1824,257,58,151702.08,7914.34,4823.86,28507.19,0
PROD0009,Specialty Pharma,Berlin,2024-01,261,99,10,4919.85,268.83,188.5,2561.31,0
PROD0010,Medical Devices,Munich,2024-01,1534,142,1,97409.0,7011.91,63.5,12284.49,0
PROD0011,Specialty Pharma,Munich,2024-01,242,40,7,4595.58,194.08,132.93,1090.71,1
PROD0012,Specialty Pharma,Cologne,2024-01,2303,1079,100,43618.82,1059.38,1894.0,28544.39,0
PROD0013,OTC Medication,Hamburg,2024-01,1142,190,23,50556.34,1830.63,1018.21,9993.29,0
PROD0014,Prescription Drugs,Mannheim HQ,2024-01,892,295,7,2970.36,203.38,23.31,1357.05,0
PROD0015,OTC Medication,Cologne,2024-01,366,105,13,1529.88,59.29,54.34,540.55,0
PROD0016,OTC Medication,Munich,2024-01,423,87,18,7136.01,248.3,303.66,1964.15,0
PROD0017,Specialty Pharma,Hamburg,2024-01,2149,952,65,21103.18,1560.17,638.3,11760.94,0
PROD0018,OTC Medication,Hamburg,2024-01,1268,600,21,61219.04,1558.37,1013.88,36508.55,0
