order_id,supplier_id,supplier_name,category,country,order_date,promised_delivery_days,actual_delivery_days,on_time_delivery,quantity_ordered,unit_price_eur,order_value_eur,quality_pass,defect_rate,invoice_accuracy
ORD00001,SUP002,PharmaSupplier B,Specialty Pharma,Denmark,2024-03-12,16,16,1,3889,11.53,44840.17,1,0.0185,1
ORD00002,SUP002,PharmaSupplier B,Specialty Pharma,Denmark,2024-10-08,6,6,1,4528,18.57,84084.96,1,0.0194,0
ORD00003,SUP040,PharmaSupplier N1,OTC Medication,Germany,2024-05-01,8,8,1,4043,24.13,97557.59,1,0.008,1
ORD00004,SUP031,PharmaSupplier E1,Medical Devices,Netherlands,2024-07-13,3,8,0,3827,5.44,20818.88,1,0.0139,1
ORD00005,SUP022,PharmaSupplier V,Specialty Pharma,France,2024-10-11,18,18,1,2530,31.94,80808.2,1,0.0012,1
ORD00006,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-02-01,13,13,1,4885,12.9,63016.5,1,0.0184,1
ORD00007,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-01-30,19,19,1,1622,36.77,59640.94,1,0.0014,1
ORD00008,SUP003,PharmaSupplier C,OTC Medication,Germany,2024-07-25,6,16,0,2116,121.64,257390.24,1,0.0008,1
ORD00009,SUP011,PharmaSupplier K,Medical Devices,France,2024-12-02,21,21,1,2691,13.3,35790.3,1,0.0041,1
ORD00010,SUP014,PharmaSupplier N,Specialty Pharma,Denmark,2024-05-02,11,11,1,2557,19.35,49477.95,1,0.0186,0
ORD00011,SUP027,PharmaSupplier A1,Specialty Pharma,Italy,2024-01-05,17,17,1,4712,132.08,622360.96,0,0.0059,1
ORD00012,SUP010,PharmaSupplier J,Medical Devices,Netherlands,2024-05-15,7,9,0,2101,112.08,235480.08,1,0.0032,1
ORD00013,SUP024,PharmaSupplier X,OTC Medication,France,2024-12-26,12,12,1,4433,12.85,56964.05,1,0.0163,1
ORD00014,SUP018,PharmaSupplier R,Specialty Pharma,Denmark,2024-12-05,6,9,0,2266,20.24,45863.84,1,0.0021,1
ORD00015,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-05-19,12,12,1,2908,8.1,23554.8,1,0.0127,1
ORD00016,SUP004,PharmaSupplier D,Specialty Pharma,Denmark,2024-09-07,11,25,0,516,29.1,15015.6,1,0.0085,1
ORD00017,SUP023,PharmaSupplier W,Specialty Pharma,Germany,2024-01-02,13,13,1,2245,11.23,25211.35,1,0.0088,1
ORD00018,SUP025,PharmaSupplier Y,OTC Medication,Belgium,2024-10-14,3,3,1,1321,27.24,35984.04,1,0.0167,1
ORD00019,SUP020,PharmaSupplier T,Prescription Drugs,Germany,2024-03-16,16,16,1,2625,107.82,283027.5,1,0.0187,0
ORD00020,SUP032,PharmaSupplier F1,Medical Devices,France,2024-01-21,14,14,1,2144,19.61,42043.84,1,0.0071,1
ORD00021,SUP013,PharmaSupplier M,Specialty Pharma,Netherlands,2024-07-27,7,11,0,1431,5.46,7813.26,0,0.0649,1
ORD00022,SUP027,PharmaSupplier A1,Specialty Pharma,Italy,2024-01-13,8,8,1,2821,40.01,112868.21,1,0.0082,1
ORD00023,SUP007,PharmaSupplier G,Medical Devices,Switzerland,2024-05-07,11,11,1,985,13.35,13149.75,1,0.0008,1
ORD00024,SUP030,PharmaSupplier D1,Specialty Pharma,Belgium,2024-04-12,17,17,1,1964,3.3,6481.2,1,0.0132,1
ORD00025,SUP027,PharmaSupplier A1,Specialty Pharma,Italy,2024-05-22,5,10,0,2976,53.57,159424.32,1,0.008,0
ORD00026,SUP025,PharmaSupplier Y,OTC Medication,Belgium,2024-10-01,13,13,1,1044,10.56,11024.64,1,0.0052,1
ORD00027,SUP008,PharmaSupplier H,Prescription Drugs,Italy,2024-05-15,4,4,1,3659,24.84,90889.56,1,0.0157,1
ORD00028,SUP009,PharmaSupplier I,Medical Devices,Italy,2024-09-18,6,6,1,4823,24.01,115800.23,1,0.0009,1
ORD00029,SUP035,PharmaSupplier I1,Medical Devices,Belgium,2024-09-23,20,20,1,1714,8.03,13763.42,1,0.0014,1
ORD00030,SUP011,PharmaSupplier K,Medical Devices,France,2024-06-18,13,13,1,1120,11.77,13182.4,1,0.006,1
ORD00031,SUP033,PharmaSupplier G1,Prescription Drugs,Netherlands,2024-07-28,13,13,1,2522,51.52,129933.44,1,0.0038,1
ORD00032,SUP016,PharmaSupplier P,Medical Devices,France,2024-07-13,8,8,1,2565,21.93,56250.45,1,0.0167,1
ORD00033,SUP011,PharmaSupplier K,Medical Devices,France,2024-04-17,16,16,1,2739,23.67,64832.13,1,0.0088,1
ORD00034,SUP038,PharmaSupplier L1,Vaccines,Switzerland,2024-08-30,8,8,1,2424,45.3,109807.2,1,0.0127,1
ORD00035,SUP024,PharmaSupplier X,OTC Medication,France,2024-04-30,12,12,1,1731,30.54,52864.74,1,0.0009,0
ORD00036,SUP018,PharmaSupplier R,Specialty Pharma,Denmark,2024-11-08,5,5,1,4815,56.56,272336.4,1,0.0139,1
ORD00037,SUP021,PharmaSupplier U,Specialty Pharma,France,2024-05-04,7,7,1,145,24.17,3504.65,1,0.0172,1
ORD00038,SUP015,PharmaSupplier O,Prescription Drugs,Belgium,2024-08-05,10,10,1,4343,71.49,310481.07,1,0.0111,1
ORD00039,SUP008,PharmaSupplier H,Prescription Drugs,Italy,2024-03-03,17,17,1,3906,14.83,57925.98,1,0.0198,1
ORD00040,SUP008,PharmaSupplier H,Prescription Drugs,Italy,2024-08-14,19,19,1,4588,34.45,158056.6,1,0.0032,1
ORD00041,SUP010,PharmaSupplier J,Medical Devices,Netherlands,2024-08-18,11,25,0,2371,6.8,16122.8,0,0.0417,1
